MY_OPTIMIZER seed: 0
seed for the noise set to: 30
  f116 in 2-D, instance 3: FEs=40, fbest-ftarget=1.5988e+02, elapsed time [h]: 0.00
  f116 in 2-D, instance 4: FEs=40, fbest-ftarget=1.0116e+03, elapsed time [h]: 0.00
  f116 in 2-D, instance 5: FEs=40, fbest-ftarget=1.5769e+02, elapsed time [h]: 0.00
  f116 in 2-D, instance 6: FEs=40, fbest-ftarget=6.9804e+01, elapsed time [h]: 0.00
  f116 in 2-D, instance 7: FEs=40, fbest-ftarget=1.4745e+01, elapsed time [h]: 0.00
  f116 in 2-D, instance 8: FEs=40, fbest-ftarget=3.2858e+03, elapsed time [h]: 0.00
  f116 in 2-D, instance 9: FEs=40, fbest-ftarget=2.7509e+02, elapsed time [h]: 0.00
  f116 in 2-D, instance 10: FEs=40, fbest-ftarget=9.1309e+01, elapsed time [h]: 0.00
  f116 in 2-D, instance 11: FEs=40, fbest-ftarget=6.4599e+01, elapsed time [h]: 0.00
  f116 in 2-D, instance 12: FEs=40, fbest-ftarget=5.0978e+01, elapsed time [h]: 0.00
  f116 in 2-D, instance 13: FEs=40, fbest-ftarget=2.7637e+02, elapsed time [h]: 0.00
  f116 in 2-D, instance 14: FEs=40, fbest-ftarget=2.4878e+01, elapsed time [h]: 0.00
  f116 in 2-D, instance 15: FEs=40, fbest-ftarget=5.2837e+02, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:58 2010
  f117 in 2-D, instance 1: FEs=40, fbest-ftarget=4.9783e+01, elapsed time [h]: 0.00
  f117 in 2-D, instance 2: FEs=40, fbest-ftarget=4.4403e+01, elapsed time [h]: 0.00
  f117 in 2-D, instance 3: FEs=40, fbest-ftarget=3.6601e+00, elapsed time [h]: 0.00
  f117 in 2-D, instance 4: FEs=40, fbest-ftarget=1.1704e+03, elapsed time [h]: 0.00
  f117 in 2-D, instance 5: FEs=40, fbest-ftarget=1.6651e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 6: FEs=40, fbest-ftarget=2.0897e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 7: FEs=40, fbest-ftarget=3.0203e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 8: FEs=40, fbest-ftarget=6.2408e+00, elapsed time [h]: 0.00
  f117 in 2-D, instance 9: FEs=40, fbest-ftarget=4.8079e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 10: FEs=40, fbest-ftarget=1.3438e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 11: FEs=40, fbest-ftarget=7.6412e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 12: FEs=40, fbest-ftarget=5.8062e+01, elapsed time [h]: 0.00
  f117 in 2-D, instance 13: FEs=40, fbest-ftarget=4.0238e+02, elapsed time [h]: 0.00
  f117 in 2-D, instance 14: FEs=40, fbest-ftarget=4.5798e+01, elapsed time [h]: 0.00
  f117 in 2-D, instance 15: FEs=40, fbest-ftarget=1.1951e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:59 2010
  f118 in 2-D, instance 1: FEs=40, fbest-ftarget=5.2853e+01, elapsed time [h]: 0.00
  f118 in 2-D, instance 2: FEs=40, fbest-ftarget=1.8827e+02, elapsed time [h]: 0.00
  f118 in 2-D, instance 3: FEs=40, fbest-ftarget=7.1869e+00, elapsed time [h]: 0.00
